fold,fraction_changing,q05,q25,q50,q75,q95
2.0,0.0,0.0148,0.0297,0.0422,0.0592,0.0811
2.0,0.1,0.0188,0.0392,0.0593,0.0766,0.1028
2.0,0.2,0.0286,0.0567,0.0757,0.0981,0.1297
2.0,0.30000000000000004,0.0448,0.0741,0.0973,0.1232,0.1591
2.0,0.4,0.0603,0.0949,0.1212,0.1451,0.1864
2.0,0.5,0.0802,0.1135,0.1365,0.1634,0.2037
2.0,0.6000000000000001,0.1002,0.1349,0.1636,0.191,0.2349
2.0,0.7000000000000001,0.1262,0.1622,0.1895,0.2203,0.2592
2.0,0.8,0.1488,0.1904,0.2226,0.2463,0.284
2.0,0.9,0.1776,0.2101,0.2332,0.2612,0.301
2.0,1.0,0.2008,0.2377,0.2638,0.2929,0.3363
3.0,0.0,0.0143,0.028,0.0406,0.0563,0.0859
3.0,0.1,0.0403,0.0597,0.0757,0.0907,0.115
3.0,0.2,0.0642,0.0921,0.1135,0.1352,0.1629
3.0,0.30000000000000004,0.0977,0.1284,0.1526,0.1761,0.2031
3.0,0.4,0.13,0.1689,0.1977,0.2232,0.2564
3.0,0.5,0.1736,0.213,0.2395,0.2635,0.2994
3.0,0.6000000000000001,0.222,0.2557,0.2827,0.3104,0.3481
3.0,0.7000000000000001,0.2504,0.2943,0.3218,0.348,0.384
3.0,0.8,0.2978,0.3419,0.3733,0.4035,0.4427
3.0,0.9,0.3137,0.3523,0.3816,0.4104,0.4487
3.0,1.0,0.375,0.4121,0.4373,0.4656,0.5091
5.0,0.0,0.0153,0.0272,0.0407,0.0583,0.0835
5.0,0.1,0.0617,0.0792,0.0938,0.1087,0.134
5.0,0.2,0.1051,0.1357,0.1533,0.1714,0.1924
5.0,0.30000000000000004,0.1675,0.1954,0.2148,0.2337,0.2556
5.0,0.4,0.2208,0.2542,0.2758,0.2954,0.3208
5.0,0.5,0.2907,0.3299,0.3501,0.3711,0.3985
5.0,0.6000000000000001,0.3554,0.3903,0.4164,0.4361,0.4608
5.0,0.7000000000000001,0.4113,0.4462,0.4688,0.4938,0.5245
5.0,0.8,0.4679,0.5027,0.5292,0.5538,0.5835
5.0,0.9,0.4498,0.4834,0.5057,0.528,0.5621
5.0,1.0,0.5124,0.5489,0.5716,0.5936,0.6265
